column,depth_r2,series_eta2,detection,mean_expr,arm,gene
16,0.7574025547968138,0.859536398513678,0.9793055068397054,9.424625783054143,centrality_only,ANKIB1
13914,0.7688276900054923,0.8477715546854044,0.9893604583187185,9.852132024478456,centrality_only,ANKLE2
8495,0.7287060377704737,0.859154373675557,0.9450485209867883,6.237219898669772,centrality_only,ANKMY1
16605,0.1818758871029627,0.7832750328159382,0.763240968081375,2.533351747889024,centrality_only,ANKRD20A19P
28011,0.09036805291959185,0.7971639852827913,0.7092248333917923,2.3051425750584795,centrality_only,ANKRD44-IT1
10053,0.47228209334822185,0.8001078083460083,0.796211855489302,3.200513462232565,centrality_only,ANKRD61
37267,0.019704810820895306,0.7247601800300691,0.1767800771659067,0.4479006404529939,centrality_only,ANTXRLP1
24674,0.02554766939487666,0.8671520004263332,0.1570209283292412,0.5002370822169022,centrality_only,AOAH-IT1
11782,0.8227911379455313,0.8615028018341887,0.9859698351455629,10.05615451144124,centrality_only,AP1G1
6596,0.7445466581658599,0.8407278466740727,0.9857359990646557,9.808447231957052,centrality_only,AP3B1
2840,0.2265736487678497,0.7640209799623121,0.9372150122763943,4.240979833030344,centrality_only,AP3B2
906,0.7227383923195462,0.8764595173119476,0.9870220975096458,10.57266378518393,centrality_only,AP3D1
15446,0.7730655435892507,0.8158038006177678,0.9818777037296855,9.431465187602944,centrality_only,AP3M1
2317,0.6909028043607692,0.7848083539408257,0.9823453758915001,7.329155339102543,centrality_only,AP4S1
11647,0.801160155064773,0.8418088917794972,0.9838653104173974,9.88079254224149,centrality_only,API5
3741,0.044086398495066105,0.8575327149065461,0.23418683502864493,0.6225346285154231,centrality_only,APOA5
38614,0.08565390163457914,0.8104309166212622,0.36455045013445575,0.8802578433639026,centrality_only,APOC4
13641,0.12999216607476202,0.7994646165650781,0.669823453758915,1.749972695846049,centrality_only,APOF
1929,0.047220224352253835,0.8248826459900761,0.34397287501461477,1.0033167890536219,centrality_only,APOH
20819,0.49053089426248303,0.8409757536453372,0.9802408511633345,8.053540620039488,centrality_only,APOL6
845,0.7431514806576732,0.8243348142667534,0.9845668186601193,9.27359409608521,centrality_only,APPBP2
17179,0.2809403933153113,0.8209445291439267,0.949725242604934,5.0086980445418705,centrality_only,APRG1
19930,0.6115752983657631,0.7953745734507863,0.9726411785338478,6.65805466249228,centrality_only,APTR
7320,0.7071312517966706,0.7924333718913807,0.9814100315678709,8.633727724282041,centrality_only,APTX
36028,0.09771276587413125,0.7366417033039682,0.8881094352858646,2.9773729288353636,centrality_only,AQP4-AS1
410,0.7205278069346467,0.8333136178580676,0.9837483923769438,9.313776270821682,centrality_only,AQR
2012,0.7773766977090768,0.8448477823367888,0.9877236057523676,10.905931517713519,centrality_only,ARCN1
4912,0.789081986454935,0.8765000478008327,0.9809423594060563,8.97828838320123,centrality_only,AREL1
9083,0.7826636608762256,0.8647539105207801,0.9826961300128609,9.449285089042776,centrality_only,ARFGAP2
29741,0.7241738710353818,0.813944732776115,0.9796562609610663,9.378548774498466,centrality_only,ARFGAP3
983,0.7699116012564545,0.8631685193651428,0.9851514088623875,9.655736541184963,centrality_only,ARFGEF1
5435,0.7697681676425852,0.873953778490971,0.984332982579212,9.920613268669706,centrality_only,ARFGEF2
6482,0.7496204386878803,0.8706198856678423,0.9786039985969835,8.370360280928606,centrality_only,ARFIP2
15711,0.15118250067903055,0.7844416742449285,0.9613001286098445,4.620861301251521,centrality_only,ARGFX
37783,0.18614626776636847,0.7780673613026301,0.7685022799017889,2.442374496003919,centrality_only,ARGFXP2
25292,0.034696401207621415,0.8768988519189779,0.21314158774698935,0.716324256245022,centrality_only,ARHGAP15-AS1
22509,0.04658008989558684,0.8166405538909678,0.3187185782766281,0.9046562147965616,centrality_only,ARHGAP26-AS1
24807,0.05345726718787636,0.8415527181398679,0.31146965976850227,0.9093890221763128,centrality_only,ARHGAP26-IT1
10294,0.7579138961257945,0.8873682673453581,0.9878405237928213,10.354426366856652,centrality_only,ARHGAP35
153,0.3771890842537074,0.8533616201411354,0.9573249152344206,6.142914130815105,centrality_only,ARHGAP44
29496,0.13704621380726933,0.8111427884440758,0.8228691687127324,3.1679245917459515,centrality_only,ARHGAP8
30003,0.23616634759018645,0.8156553324285938,0.9183912077633579,3.9988119704366833,centrality_only,ARHGEF26-AS1
26249,0.03939546889879031,0.8058601441170515,0.18601660236174442,0.4469223750985381,centrality_only,ARHGEF7-IT1
6332,0.6401558485056612,0.8430137220910507,0.9829299660937683,8.880835162008573,centrality_only,ARHGEF9
25275,0.04596600406108089,0.7994789158860502,0.21875365368876418,0.5293396658943673,centrality_only,ARHGEF9-IT1
11662,0.7862084021716618,0.8444872365396329,0.9901788846018941,10.160839666236456,centrality_only,ARIH1
2914,0.6878900412792921,0.7978930055820042,0.9766163919092716,8.825278075929136,centrality_only,ARMC1
16737,0.7071957206739415,0.8835806046743947,0.9579095054366888,7.50668692192975,centrality_only,ARRDC1
18010,0.7344809851476692,0.8483930634189788,0.9667952765111657,6.930283594351685,centrality_only,ARRDC1-AS1
43721,0.47718013912026536,0.826807460314968,0.9328890447796095,5.027554944678522,centrality_only,ARRDC3-AS1
14817,0.14334210324315105,0.8243667773426977,0.8828481234654507,3.4998202428028318,centrality_only,ASB18
113,0.24536302189032116,0.826573945539811,0.8538524494329475,3.6297387388537783,centrality_only,ASB4
8982,0.7578584270612134,0.84357951976919,0.9782532444756226,8.162707152121891,centrality_only,ASB6
15099,0.7928136053445606,0.8445580996581288,0.9726411785338478,7.5524793943995885,centrality_only,ASB7
