gene,in_variance_set,in_centrality_set,in_kegg_set,n_sources,variance,variance_rank,in_degree,centrality_rank,kegg_pathway
APOD,True,False,False,1,16.14521769821336,425,,,
APOE,True,False,False,1,16.524780319972646,376,,,
APOF,False,True,False,1,,,391,2408,
APOH,False,True,False,1,,,310,3653,
APOL1,True,False,False,1,10.493272392601584,2344,,,
APOL3,True,False,False,1,14.738033358487488,644,,,
APOL6,False,True,False,1,,,281,4362,
APP,True,False,False,1,10.466572159060588,2364,,,
APPBP2,False,True,False,1,,,279,4401,
APRG1,False,True,False,1,,,1486,91,
APTR,False,True,False,1,,,309,3681,
APTX,False,True,False,1,,,289,4151,
AQP1,True,False,False,1,19.76215549866316,195,,,
AQP3,True,False,False,1,8.374517504862542,4770,,,
AQP4,True,False,False,1,9.221922810221512,3554,,,
AQP4-AS1,False,True,False,1,,,285,4269,
AQP7,True,True,False,2,13.273263425583048,976,267,4740,
AQP7B,True,False,False,1,8.32459319578819,4863,,,
AQP9,True,True,False,2,13.00615894115123,1059,331,3246,
AQR,False,True,False,1,,,638,827,
AR,True,False,False,1,8.447866125092768,4662,,,
ARAP1,True,False,False,1,13.426612059824986,932,,,
ARAP2,True,False,False,1,10.892538651096505,2065,,,
ARAP3,True,False,False,1,10.731354820976613,2164,,,
ARCN1,False,True,False,1,,,291,4105,
AREG,True,False,False,1,8.859497079123084,4054,,,
AREL1,False,True,False,1,,,492,1494,
ARF5,True,False,False,1,10.383480927759228,2417,,,
ARFGAP1,True,True,False,2,10.962464308483838,2018,741,586,
ARFGAP2,False,True,False,1,,,424,2064,
ARFGAP3,False,True,False,1,,,338,3146,
ARFGEF1,False,True,False,1,,,727,606,
ARFGEF2,False,True,False,1,,,463,1694,
ARFGEF3,True,False,False,1,8.534744760692966,4522,,,
ARFIP2,False,True,False,1,,,312,3617,
ARGFX,False,True,False,1,,,1406,108,
ARGFXP2,False,True,False,1,,,354,2906,
ARHGAP11A,True,False,False,1,10.968873179917695,2012,,,
ARHGAP15,True,True,False,2,10.905484002320774,2053,486,1537,
ARHGAP15-AS1,False,True,False,1,,,580,1025,
ARHGAP22,True,True,False,2,8.4535654009439,4655,345,3032,
ARHGAP23,True,False,False,1,14.98353759741896,599,,,
ARHGAP25,True,False,False,1,10.036262777452077,2702,,,
ARHGAP26-AS1,False,True,False,1,,,635,838,
ARHGAP26-IT1,False,True,False,1,,,436,1946,
ARHGAP27,True,False,False,1,9.18562620103085,3603,,,
ARHGAP30,True,True,False,2,10.5627342742037,2291,341,3091,
ARHGAP31,True,False,False,1,9.318171852606312,3436,,,
ARHGAP33,True,True,False,2,10.42438773217076,2390,447,1837,
ARHGAP35,False,True,False,1,,,338,3141,
ARHGAP39,True,False,False,1,8.286673462792077,4918,,,
ARHGAP4,True,False,False,1,11.340142226014926,1772,,,
ARHGAP42,True,False,False,1,9.21255091212037,3570,,,
ARHGAP44,False,True,False,1,,,405,2246,
ARHGAP45,True,False,False,1,10.335030018083057,2454,,,
ARHGAP8,False,True,False,1,,,374,2611,
ARHGAP9,True,False,False,1,9.952990217940355,2783,,,
ARHGDIA,True,True,False,2,13.33446513012309,957,278,4446,
ARHGDIB,True,False,False,1,12.740587172122837,1125,,,
ARHGEF1,True,True,False,2,10.431544929610196,2384,337,3151,
ARHGEF10L,True,False,False,1,12.386329586322349,1247,,,
ARHGEF11,True,False,False,1,9.601767220333462,3138,,,
ARHGEF15,True,False,False,1,15.110511324098454,578,,,
ARHGEF17,True,False,False,1,10.413439441237434,2399,,,
ARHGEF18,True,True,False,2,8.973309497156077,3902,405,2247,
ARHGEF25,True,False,False,1,13.470608532097046,922,,,
ARHGEF26-AS1,False,True,False,1,,,480,1591,
ARHGEF28,True,True,False,2,11.006863234474933,1984,350,2955,
ARHGEF37,True,False,False,1,8.998196223073982,3859,,,
ARHGEF5,True,False,False,1,10.19832579409477,2564,,,
ARHGEF6,True,False,False,1,8.366306149570852,4786,,,
ARHGEF7-IT1,False,True,False,1,,,599,954,
ARHGEF9,False,True,False,1,,,509,1394,
ARHGEF9-IT1,False,True,False,1,,,441,1904,
ARID5A,True,False,False,1,9.806235952465734,2920,,,
ARIH1,False,True,False,1,,,528,1262,
ARL8A,True,False,False,1,8.543369060389848,4504,,,
ARMC1,False,True,False,1,,,272,4601,
ARMC10,True,False,False,1,9.27256631665736,3495,,,
ARMC6,True,True,False,2,8.643972953477997,4344,443,1873,
ARMCX1,True,False,False,1,8.338215817053069,4844,,,
ARMCX2,True,False,False,1,10.47405031314649,2357,,,
ARMCX6,True,False,False,1,9.30652144141927,3446,,,
ARMCX7P,True,False,False,1,9.38467276219212,3363,,,
ARNT2,True,False,False,1,10.929079846651923,2036,,,
ARPIN-AP3S2,True,False,False,1,9.68831726323195,3046,,,
ARRB1,True,False,False,1,8.878764931528044,4026,,,
ARRB2,True,False,False,1,8.484585727843905,4594,,,
