gene,n_items,pct_of_items
HHLA2,2,0.01
RTP2,2,0.01
ANGPTL7,2,0.01
EPOP,2,0.01
UTP4,2,0.01
ZNF683,2,0.01
OR5AK3P,2,0.01
SLC22A8,2,0.01
GABPA,2,0.01
CAPN14,2,0.01
USP17L30,2,0.01
USP17L4,2,0.01
RPL23A,2,0.01
CCDC195,2,0.01
ZFAT,2,0.01
RNF112,2,0.01
GPR83,2,0.01
CCDC124,2,0.01
KCNH3,2,0.01
ZNF219,2,0.01
RRP7A,2,0.01
SSU72P5,2,0.01
ALDH6A1,2,0.01
CT47A1,2,0.01
CDT1,2,0.01
SCRN2,2,0.01
ATP2C1,2,0.01
IVL,2,0.01
ONECUT2,2,0.01
GRK7,2,0.01
LY6D,2,0.01
SLC6A18,2,0.01
ZDHHC22,2,0.01
LRRK2,2,0.01
BEX1,2,0.01
ZNF730,2,0.01
ARHGEF11,2,0.01
ABL1,2,0.01
CHTF8,2,0.01
PANX3,2,0.01
CEACAM16,2,0.01
FREM2,2,0.01
H3C12,2,0.01
SPATA4,2,0.01
TBC1D22B,2,0.01
PHETA1,2,0.01
SPRR3,2,0.01
CBWD3,2,0.01
TSHB,2,0.01
PLEKHA6,2,0.01
KRT13,2,0.01
GPR162,2,0.01
ANKRD53,2,0.01
ARV1,2,0.01
ANKRD55,2,0.01
SLC9C2,2,0.01
NFE2L3,2,0.01
EIF4A1,2,0.01
TSSK2,2,0.01
SULT1B1,2,0.01
USP17L28,2,0.01
USP17L26,2,0.01
MAP3K3,2,0.01
IQGAP1,2,0.01
OR8D2,2,0.01
C19ORF33,2,0.01
CRISP1,2,0.01
CITED1,2,0.01
FBLL1,2,0.01
GLIS1,2,0.01
GNL1,2,0.01
ADGRG6,2,0.01
KRT16,2,0.01
TAS2R50,2,0.01
MARK1,2,0.01
WNT8B,2,0.01
FGD2,2,0.01
SLC35A5,2,0.01
RPL4,2,0.01
MUC19,2,0.01
SLC30A8,2,0.01
RAPH1,2,0.01
KCNU1,2,0.01
TNN,2,0.01
TRPV6,2,0.01
ITK,2,0.01
ASCL4,2,0.01
RASD2,2,0.01
MDFIC2,2,0.01
PIRT,2,0.01
SLC38A4,2,0.01
GALNTL6,2,0.01
AMY1A,2,0.01
IRX4,2,0.01
PCP4,2,0.01
TRAF1,2,0.01
C5ORF52,2,0.01
OSGIN1,2,0.01
NPY4R,2,0.01
SAMD3,2,0.01
KLLN,2,0.01
ARHGAP19-SLIT1,2,0.01
C16ORF54,2,0.01
KRT6B,2,0.01
TMEM52B,2,0.01
ZSCAN12,2,0.01
TLL2,2,0.01
SYNE3,2,0.01
WNT16,2,0.01
PAIP1,2,0.01
NAP1L5,2,0.01
PRKCE,2,0.01
CNTN3,2,0.01
KLK12,2,0.01
OR1L6,2,0.01
MPG,2,0.01
CLCA1,2,0.01
ZNF677,2,0.01
FPGT-TNNI3K,2,0.01
PLAAT4,2,0.01
BATF2,2,0.01
TPTE,2,0.01
BHLHA9,2,0.01
FAM181A,2,0.01
ARL14EPL,2,0.01
GPX8,2,0.01
PRSS35,2,0.01
FAM162B,2,0.01
PLA2G2C,2,0.01
PRXL2B,2,0.01
IL23A,2,0.01
SCAMP5,2,0.01
GDF6,2,0.01
SIRPB2,2,0.01
PRDM13,2,0.01
SCAF1,2,0.01
MRGPRF,2,0.01
PRSS56,2,0.01
NBPF8,2,0.01
MATN3,2,0.01
PRKCH,2,0.01
ELF4,2,0.01
SIM1,2,0.01
FEM1A,2,0.01
MRFAP1L1,2,0.01
AADAC,2,0.01
PRRT1,2,0.01
BCAT1,2,0.01
PSG7,2,0.01
PSG1,2,0.01
TMEM178B,2,0.01
ERF,2,0.01
LCE1E,2,0.01
GUCY1B1,2,0.01
MYH3,2,0.01
LPAR3,2,0.01
KCNJ3,2,0.01
MYO6,2,0.01
EDN3,2,0.01
SOSTDC1,2,0.01
VSNL1,2,0.01
ZG16B,2,0.01
SKA1,2,0.01
MOB4,2,0.01
RABGGTA,2,0.01
SFTPA2,2,0.01
DCUN1D4,2,0.01
STON1-GTF2A1L,2,0.01
MARCOL,2,0.01
CHIA,2,0.01
NKX2-8,2,0.01
SLC6A1,2,0.01
ZDHHC19,2,0.01
FKBP9,2,0.01
GPR17,2,0.01
FAM86B2,2,0.01
TULP2,2,0.01
FGF3,2,0.01
MT-ND3,2,0.01
MRPS17,2,0.01
TSPAN10,2,0.01
DNAJC25-GNG10,2,0.01
MEX3D,2,0.01
C19ORF67,2,0.01
MUC20,2,0.01
LRRC69,2,0.01
TSNAX-DISC1,2,0.01
IL2RB,2,0.01
TEX48,2,0.01
GHSR,2,0.01
ITPR3,2,0.01
MFAP2,2,0.01
GGT6,2,0.01
HEPACAM,2,0.01
RBM41,2,0.01
FGFBP1,2,0.01
RAB44,2,0.01
TCF19,2,0.01
IL5,2,0.01
CDKN2C,2,0.01
IL6R,2,0.01
GTF2H2C,2,0.01
MMP8,2,0.01
SLC26A3,2,0.01
CENPVL1,2,0.01
CENPVL2,2,0.01
TDRP,2,0.01
ARG2,2,0.01
ARMC10,2,0.01
GSX2,2,0.01
FBXL15,2,0.01
MPDZ,2,0.01
UNC13B,2,0.01
WFIKKN1,2,0.01
ERV3-1,2,0.01
KCNA3,2,0.01
SCRIB,2,0.01
TST,2,0.01
CD70,2,0.01
SMO,2,0.01
OR1I1,2,0.01
GABRA2,2,0.01
PCDHGA4,2,0.01
RNF212B,2,0.01
RWDD4,2,0.01
MGARP,2,0.01
PRR9,2,0.01
CCN4,2,0.01
MS4A12,2,0.01
COPG1,2,0.01
KCNA5,2,0.01
TAC3,2,0.01
PNMA3,2,0.01
EPPK1,2,0.01
ZNF579,2,0.01
PATE1,2,0.01
FAM24B,2,0.01
CCNA1,2,0.01
ASDURF,2,0.01
SPATA31A3,2,0.01
MUC12,2,0.01
KLK13,2,0.01
NOX5,2,0.01
MT-CO2,2,0.01
PSG9,2,0.01
CSN3,2,0.01
MEIOSIN,2,0.01
NUTM2B,2,0.01
KCNJ2,2,0.01
GPR158,2,0.01
ACOT11,2,0.01
GIPC3,2,0.01
ACSS2,2,0.01
SPRR2D,2,0.01
IL22RA2,2,0.01
CTAGE1,2,0.01
ECE2,2,0.01
TCEAL6,2,0.01
VXN,2,0.01
DKK4,2,0.01
H2AW,2,0.01
BIRC2,2,0.01
ZNF43,2,0.01
PTHLH,2,0.01
INO80B,2,0.01
AK4P3,2,0.01
FAM234A,2,0.01
PROZ,2,0.01
EPN3,2,0.01
NTS,2,0.01
DCBLD2,2,0.01
RPL22L1,2,0.01
SAA2,2,0.01
PODNL1,2,0.01
SOX14,2,0.01
NDUFA2,2,0.01
PIWIL3,2,0.01
CXCL11,2,0.01
CHRM1,2,0.01
KCTD16,2,0.01
PABPC1L2B,2,0.01
SEPTIN8,2,0.01
BID,2,0.01
INPP4B,2,0.01
PCSK1,2,0.01
ITGA10,2,0.01
SCRT1,2,0.01
AKR1B15,2,0.01
ALG1L2,2,0.01
KIAA0100,2,0.01
POTED,2,0.01
DUOX1,2,0.01
TBC1D3I,2,0.01
ATF7IP2,2,0.01
FAM9A,2,0.01
C9ORF57,2,0.01
BLNK,2,0.01
HDGFL2,2,0.01
PSG6,2,0.01
LUZP2,2,0.01
SLC35D3,2,0.01
CDK5RAP2,2,0.01
POU3F1,2,0.01
VN1R2,2,0.01
OR14A16,2,0.01
ZNF804B,2,0.01
LMNTD2,2,0.01
DZIP3,2,0.01
CDH17,2,0.01
SLC9A3R2,2,0.01
USH2A,2,0.01
CCDC13,2,0.01
SFRP5,2,0.01
AGXT,2,0.01
MT1G,2,0.01
CFP,2,0.01
NALCN,2,0.01
ART3,2,0.01
COPE,2,0.01
RTL6,2,0.01
DRG1,2,0.01
RHOT1,2,0.01
HEG1,2,0.01
MT-ND5,2,0.01
LCE3D,2,0.01
LCE1F,2,0.01
ARHGAP40,2,0.01
MS4A8,2,0.01
OCIAD2,2,0.01
ODAPH,2,0.01
CT45A3,2,0.01
PAGE1,2,0.01
BTG2,2,0.01
ROBO1,2,0.01
CYP1A1,2,0.01
SLC23A3,2,0.01
SMIM32,2,0.01
GTF2IRD2B,2,0.01
F11,2,0.01
FDX2,2,0.01
OR5B21,2,0.01
ANGPTL2,2,0.01
FCRL6,2,0.01
PHLDB2,2,0.01
TMEM167A,2,0.01
GMNC,2,0.01
COBL,2,0.01
NUPR2,2,0.01
PTPRU,2,0.01
LRRC55,2,0.01
OR8H3,2,0.01
COMMD1,2,0.01
ITGA11,2,0.01
ABHD13,2,0.01
TRIM49D2,2,0.01
UBE2U,2,0.01
FOXI2,2,0.01
UBE3B,2,0.01
EVPL,2,0.01
LOXL1,2,0.01
TXNDC5,2,0.01
HMSD,2,0.01
EVI2B,2,0.01
CASP8,2,0.01
TREML1,2,0.01
C20ORF141,2,0.01
PNLIP,2,0.01
THRSP,2,0.01
RPL7,2,0.01
NUDT21,2,0.01
CLVS2,2,0.01
FMO1,2,0.01
RAB2A,2,0.01
GPR26,2,0.01
PCDHGA10,2,0.01
ATP1B1,2,0.01
MERTK,2,0.01
CLDN10,2,0.01
PRSS41,2,0.01
DNASE1L3,2,0.01
DLL3,2,0.01
PCDH19,2,0.01
IGFBP1,2,0.01
PACSIN3,2,0.01
ZNF257,2,0.01
KRT25,2,0.01
OTOF,2,0.01
WNT2B,2,0.01
HLA-DMB,2,0.01
KCNS1,2,0.01
COL27A1,2,0.01
P2RY13,2,0.01
SPATA31A1,2,0.01
POTEB,2,0.01
ACTN4,2,0.01
SPHKAP,2,0.01
PLPPR5,2,0.01
KRBOX1,2,0.01
ABHD4,2,0.01
TRPC5,2,0.01
NET1,2,0.01
SLC16A6,2,0.01
OPRK1,2,0.01
KCNK2,2,0.01
MYMX,2,0.01
PTCRA,2,0.01
SCYGR4,2,0.01
B3GAT2,2,0.01
TMEM265,2,0.01
SIX1,2,0.01
CRH,2,0.01
DRAP1,2,0.01
SHROOM3,2,0.01
ADCY6,2,0.01
C22ORF31,2,0.01
GTPBP2,2,0.01
SHTN1,2,0.01
DCSTAMP,2,0.01
OR2A4,2,0.01
ACAP3,2,0.01
TMEM151A,2,0.01
ZNHIT3,2,0.01
MSI2,2,0.01
IQCJ,2,0.01
TAS2R41,2,0.01
CD79A,2,0.01
ATP5MF-PTCD1,2,0.01
EVX2,2,0.01
CABP7,2,0.01
GLYATL2,2,0.01
KLRG2,2,0.01
CILP2,2,0.01
CYP17A1,2,0.01
ANO2,2,0.01
ARHGDIG,2,0.01
BLOC1S1,2,0.01
ATOH8,2,0.01
GAGE2E,2,0.01
PTPRN,2,0.01
RPL6,2,0.01
FOXA2,2,0.01
ARHGEF40,2,0.01
RASGRP3,1,0.0
RRH,1,0.0
LRRC40,1,0.0
MPZL3,1,0.0
OBP2A,1,0.0
TACO1,1,0.0
PGS1,1,0.0
RWDD3,1,0.0
ELP5,1,0.0
SNTA1,1,0.0
BRS3,1,0.0
SHISA6,1,0.0
MAP6D1,1,0.0
HOXC6,1,0.0
DACH2,1,0.0
IFI44L,1,0.0
VIP,1,0.0
PRAMEF10,1,0.0
ABCA6,1,0.0
UPP2,1,0.0
GASK1B,1,0.0
H2AC20,1,0.0
IL17RE,1,0.0
NLGN2,1,0.0
FOXI1,1,0.0
MT-CO1,1,0.0
ZNF670-ZNF695,1,0.0
HEATR4,1,0.0
CYP4F3,1,0.0
FFAR1,1,0.0
EIF3E,1,0.0
CD69,1,0.0
DCAF11,1,0.0
ACAA2,1,0.0
COL4A1,1,0.0
ST8SIA4,1,0.0
SKIV2L,1,0.0
REM1,1,0.0
FAM174B,1,0.0
TMEM30A,1,0.0
SPPL2A,1,0.0
PPM1B,1,0.0
TMEFF2,1,0.0
NLRC3,1,0.0
RELT,1,0.0
CNGA4,1,0.0
MROH2B,1,0.0
IFNL4,1,0.0
C11ORF86,1,0.0
P2RX2,1,0.0
IZUMO2,1,0.0
HPCA,1,0.0
SUPT20HL2,1,0.0
HLA-DQA1,1,0.0
ADCY9,1,0.0
SIAE,1,0.0
LGI3,1,0.0
UNC5C,1,0.0
CPS1,1,0.0
ZNF277,1,0.0
OLFM4,1,0.0
GATA6,1,0.0
WFIKKN2,1,0.0
YKT6,1,0.0
RD3L,1,0.0
SOX30,1,0.0
ARC,1,0.0
KRTAP5-8,1,0.0
LHFPL7,1,0.0
SIRPG,1,0.0
CIB3,1,0.0
GPR78,1,0.0
YAF2,1,0.0
EPAS1,1,0.0
CASP5,1,0.0
RBPMS,1,0.0
BCAN,1,0.0
OTP,1,0.0
GDF3,1,0.0
POTEM,1,0.0
FLRT2,1,0.0
PNPLA6,1,0.0
ASIP,1,0.0
ZNF556,1,0.0
CT45A10,1,0.0
EEF2K,1,0.0
TEX11,1,0.0
MRGPRX4,1,0.0
XAGE3,1,0.0
CYP19A1,1,0.0
PERCC1,1,0.0
SEMA3E,1,0.0
RGS10,1,0.0
BMP5,1,0.0
OPN1SW,1,0.0
CD247,1,0.0
ZNF438,1,0.0
TNFSF10,1,0.0
FAM217B,1,0.0
C21ORF91,1,0.0
CT45A5,1,0.0
AK6,1,0.0
CYP4F11,1,0.0
TP53INP2,1,0.0
NGEF,1,0.0
CDH6,1,0.0
CGB3,1,0.0
IL17F,1,0.0
KCNIP2,1,0.0
TCEA3,1,0.0
PNMA8A,1,0.0
ZNF697,1,0.0
SMIM3,1,0.0
HID1,1,0.0
ZNF527,1,0.0
PSMD12,1,0.0
SIX3,1,0.0
SLC9A4,1,0.0
COX6A2,1,0.0
EMC10,1,0.0
OR10G9,1,0.0
TH,1,0.0
NDUFA4L2,1,0.0
POLR2L,1,0.0
FRMD3,1,0.0
SP8,1,0.0
SPANXN2,1,0.0
IL20,1,0.0
CCL3L1,1,0.0
CARF,1,0.0
PCMTD1,1,0.0
C12ORF54,1,0.0
CST5,1,0.0
PNMA1,1,0.0
MRLN,1,0.0
ERVV-2,1,0.0
LAMP3,1,0.0
OR10C1,1,0.0
VN1R5,1,0.0
TTC29,1,0.0
MUSK,1,0.0
ACRBP,1,0.0
MPIG6B,1,0.0
ASB2,1,0.0
TMSB4X,1,0.0
MYH13,1,0.0
MTFP1,1,0.0
TFB2M,1,0.0
XRRA1,1,0.0
IGF2BP2,1,0.0
CRIM1,1,0.0
PYGL,1,0.0
SH3PXD2B,1,0.0
MRPL18,1,0.0
UQCRH,1,0.0
CTXND2,1,0.0
ERGIC3,1,0.0
NAV2,1,0.0
KCNN4,1,0.0
KCNV1,1,0.0
CREB1,1,0.0
TSPAN12,1,0.0
GMPR,1,0.0
LAIR1,1,0.0
NID1,1,0.0
WNT8A,1,0.0
NECTIN4,1,0.0
DCX,1,0.0
DMRT3,1,0.0
BHLHE22,1,0.0
HPS6,1,0.0
NBPF26,1,0.0
CBWD5,1,0.0
SEMA4D,1,0.0
DLX6,1,0.0
CRYBA1,1,0.0
KIF12,1,0.0
CENPA,1,0.0
SLX1A,1,0.0
C2ORF74,1,0.0
ERG28,1,0.0
LIPK,1,0.0
COQ3,1,0.0
RPP40,1,0.0
PAEP,1,0.0
GABRA6,1,0.0
SIGLEC15,1,0.0
DIRAS3,1,0.0
TMEM53,1,0.0
SPIN2B,1,0.0
SMIM23,1,0.0
SLC26A9,1,0.0
SLC2A7,1,0.0
CTAG1A,1,0.0
DYTN,1,0.0
CXXC5,1,0.0
PSENEN,1,0.0
RND3,1,0.0
KRTAP19-7,1,0.0
OR2D3,1,0.0
NUDT14,1,0.0
LRRTM1,1,0.0
OR6N1,1,0.0
SMAD7,1,0.0
ARHGAP35,1,0.0
TLCD2,1,0.0
POLE3,1,0.0
EHD4,1,0.0
TP63,1,0.0
SSX1,1,0.0
DLEC1,1,0.0
ABAT,1,0.0
FJX1,1,0.0
TINCR,1,0.0
LIN28A,1,0.0
DNAJC28,1,0.0
ADAMTS19,1,0.0
DNAJA3,1,0.0
SLC29A1,1,0.0
ZNF776,1,0.0
EEF1AKMT2,1,0.0
PRR27,1,0.0
DDX4,1,0.0
ABHD14A,1,0.0
SNAPIN,1,0.0
FAM187B,1,0.0
COX18,1,0.0
CDRT4,1,0.0
C6ORF47,1,0.0
SNURF,1,0.0
ZNF26,1,0.0
CHGA,1,0.0
SIDT1,1,0.0
SHC3,1,0.0
GZMH,1,0.0
HS2ST1,1,0.0
QKI,1,0.0
ANXA13,1,0.0
ENPP7,1,0.0
USP17L25,1,0.0
DHRS3,1,0.0
TNFSF15,1,0.0
CDH15,1,0.0
ICOSLG,1,0.0
CPNE2,1,0.0
POLR3GL,1,0.0
SLC22A23,1,0.0
GALNT14,1,0.0
LRRC56,1,0.0
SRGAP2,1,0.0
GOLGA8K,1,0.0
PPP5C,1,0.0
ALCAM,1,0.0
MT-CO3,1,0.0
AMBN,1,0.0
SLC5A5,1,0.0
FOXB1,1,0.0
PARK7,1,0.0
PRELID3B,1,0.0
CDCP1,1,0.0
RNASE11,1,0.0
CELF6,1,0.0
SLC31A2,1,0.0
NPSR1,1,0.0
TMEM126B,1,0.0
FCGRT,1,0.0
TEAD1,1,0.0
TRPC1,1,0.0
CCIN,1,0.0
CARMIL3,1,0.0
NLRC5,1,0.0
ATP6V0B,1,0.0
OR5D14,1,0.0
DNAH10,1,0.0
DLK1,1,0.0
TMEM132C,1,0.0
GRIN2A,1,0.0
NKD1,1,0.0
UNCX,1,0.0
IRX1,1,0.0
CPSF4L,1,0.0
TAC1,1,0.0
C1ORF116,1,0.0
SLC6A2,1,0.0
PRSS57,1,0.0
NLRP11,1,0.0
F7,1,0.0
ATP6V1FNB,1,0.0
TEX14,1,0.0
HPD,1,0.0
ARHGAP26,1,0.0
AP1S1,1,0.0
CFAP74,1,0.0
ALG1L9P,1,0.0
LTC4S,1,0.0
CEMP1,1,0.0
HMGB1P1,1,0.0
MYLK4,1,0.0
UBXN10,1,0.0
NANOS3,1,0.0
TKTL1,1,0.0
PGPEP1L,1,0.0
BDP1,1,0.0
MANBA,1,0.0
ARL4C,1,0.0
ANGEL1,1,0.0
SDR39U1,1,0.0
OR3A1,1,0.0
KRT36,1,0.0
CCL15,1,0.0
VAMP8,1,0.0
PRPS1L1,1,0.0
TMEM97,1,0.0
ROMO1,1,0.0
DDX24,1,0.0
IL4I1,1,0.0
AGER,1,0.0
SOAT2,1,0.0
SPX,1,0.0
CCL25,1,0.0
FXYD3,1,0.0
OR2AK2,1,0.0
OR51B2,1,0.0
IRAK2,1,0.0
ROPN1L,1,0.0
RPN1,1,0.0
FAM90A17,1,0.0
FAM90A16,1,0.0
MUC6,1,0.0
TUBB8,1,0.0
MAPK15,1,0.0
CACNG4,1,0.0
UBR4,1,0.0
BOLA2,1,0.0
TF,1,0.0
MGAT4A,1,0.0
EFNA2,1,0.0
SLITRK5,1,0.0
MAFA,1,0.0
PRAMEF19,1,0.0
KCNQ2,1,0.0
ARF1,1,0.0
CA10,1,0.0
MYCT1,1,0.0
CDRT15,1,0.0
TENT5A,1,0.0
SLC25A43,1,0.0
CALHM4,1,0.0
CYP2R1,1,0.0
OR6B2,1,0.0
TMED1,1,0.0
GARIN4,1,0.0
C19ORF38,1,0.0
GDF10,1,0.0
BST1,1,0.0
MECOM,1,0.0
SOWAHA,1,0.0
PRKX,1,0.0
GPR33,1,0.0
B3GALT4,1,0.0
MEF2B,1,0.0
GRIFIN,1,0.0
NDUFA8,1,0.0
PPM1D,1,0.0
MRPS7,1,0.0
CMKLR1,1,0.0
CHMP4A,1,0.0
GFUS,1,0.0
TBC1D14,1,0.0
C7ORF50,1,0.0
TOMM34,1,0.0
SYS1-DBNDD2,1,0.0
OR13C9,1,0.0
DBX2,1,0.0
MT1HL1,1,0.0
APOL6,1,0.0
ZMAT4,1,0.0
KRTAP5-1,1,0.0
APP,1,0.0
OR52N4,1,0.0
DLC1,1,0.0
SPINK14,1,0.0
CDK6,1,0.0
MGAT5B,1,0.0
FAM110B,1,0.0
VWA8,1,0.0
MLIP,1,0.0
NKX2-2,1,0.0
RGS21,1,0.0
ZNF280D,1,0.0
SNAP91,1,0.0
TMCO5A,1,0.0
OR4L1,1,0.0
ACE,1,0.0
SFTPB,1,0.0
ZBTB6,1,0.0
TPI1,1,0.0
SHMT2,1,0.0
RPLP0,1,0.0
C19ORF84,1,0.0
CXORF49,1,0.0
INO80E,1,0.0
NXNL1,1,0.0
ADGRF1,1,0.0
VANGL2,1,0.0
NTN5,1,0.0
CFAP221,1,0.0
PRDX1,1,0.0
PSMD7,1,0.0
PSME3IP1,1,0.0
TOX4,1,0.0
BOD1,1,0.0
RAD23B,1,0.0
STAU1,1,0.0
OXER1,1,0.0
PRRC2C,1,0.0
PUM1,1,0.0
HOOK3,1,0.0
CNTNAP3C,1,0.0
GARIN2,1,0.0
MPPED1,1,0.0
TMEM203,1,0.0
ZSCAN21,1,0.0
HOOK2,1,0.0
PCDHB9,1,0.0
TRPM2,1,0.0
CD1D,1,0.0
RABAC1,1,0.0
FBXO44,1,0.0
RAB37,1,0.0
KCNA10,1,0.0
CASS4,1,0.0
KMT2B,1,0.0
AQP3,1,0.0
RFX8,1,0.0
TNNT3,1,0.0
ADRA2B,1,0.0
GLIPR1,1,0.0
PROKR2,1,0.0
DMGDH,1,0.0
COG1,1,0.0
MPZ,1,0.0
CCNF,1,0.0
CFAP46,1,0.0
KLHL33,1,0.0
SLC16A11,1,0.0
FAM83D,1,0.0
KRTAP12-2,1,0.0
CEACAM3,1,0.0
NUAK1,1,0.0
JOSD2,1,0.0
CXCR2,1,0.0
CYP27B1,1,0.0
HELLS,1,0.0
CHN1,1,0.0
MBOAT1,1,0.0
TMEM45A,1,0.0
TRAM1L1,1,0.0
ZNF846,1,0.0
CIDEA,1,0.0
RB1,1,0.0
PIGN,1,0.0
ZNF33B,1,0.0
WNT7A,1,0.0
RARRES1,1,0.0
RASGRF1,1,0.0
RNPEPL1,1,0.0
RRAD,1,0.0
DUSP6,1,0.0
RHOD,1,0.0
PRICKLE1,1,0.0
KCTD4,1,0.0
GRM2,1,0.0
PXMP2,1,0.0
KRTAP19-5,1,0.0
GJE1,1,0.0
OR5T3,1,0.0
FGD1,1,0.0
RTP3,1,0.0
GJB4,1,0.0
C1QTNF4,1,0.0
INPP1,1,0.0
IL27,1,0.0
C11ORF53,1,0.0
CEBPE,1,0.0
CST3,1,0.0
PRM2,1,0.0
ADAMTS20,1,0.0
HS3ST6,1,0.0
ANKRD45,1,0.0
SOHLH1,1,0.0
MT1X,1,0.0
CNR2,1,0.0
LILRB4,1,0.0
COX8A,1,0.0
TRAF3IP3,1,0.0
ABCG4,1,0.0
DLX3,1,0.0
ATP5PD,1,0.0
PDILT,1,0.0
ANXA8L1,1,0.0
NTNG2,1,0.0
MTF2,1,0.0
OR1D5,1,0.0
GCNT2,1,0.0
SLC7A3,1,0.0
IL13,1,0.0
ACTA1,1,0.0
NPIPA5,1,0.0
SPDYA,1,0.0
FAM246C,1,0.0
REG1A,1,0.0
POM121L2,1,0.0
SLC22A13,1,0.0
CFAP99,1,0.0
OR2B2,1,0.0
HTR3A,1,0.0
NOTUM,1,0.0
NUDT10,1,0.0
PDE6G,1,0.0
ALX4,1,0.0
DUSP23,1,0.0
NKX6-1,1,0.0
CITED4,1,0.0
POLR2I,1,0.0
NLE1,1,0.0
GPR87,1,0.0
LY6G6C,1,0.0
SPDYE3,1,0.0
FAM219B,1,0.0
GADL1,1,0.0
ABCB6,1,0.0
PRAP1,1,0.0
RBP3,1,0.0
ME3,1,0.0
SLC25A23,1,0.0
CD1E,1,0.0
BNIP3L,1,0.0
EIF5A,1,0.0
TMEM234,1,0.0
NAA80,1,0.0
RFPL4B,1,0.0
OR56A3,1,0.0
RS1,1,0.0
ABCC8,1,0.0
FBXO5,1,0.0
TCF15,1,0.0
ZNF641,1,0.0
SYNJ2BP-COX16,1,0.0
RAB3IL1,1,0.0
LMBRD2,1,0.0
KRTAP12-1,1,0.0
LMO3,1,0.0
UBL4B,1,0.0
DDX60,1,0.0
ARMCX2,1,0.0
TMEM150C,1,0.0
EDA2R,1,0.0
PTCHD4,1,0.0
TRIM61,1,0.0
MAP3K6,1,0.0
FILIP1L,1,0.0
NEDD4,1,0.0
AKAP17A,1,0.0
LEPROTL1,1,0.0
CTU1,1,0.0
TAPBPL,1,0.0
THSD1,1,0.0
PRR5-ARHGAP8,1,0.0
STAT3,1,0.0
MAMDC2,1,0.0
TNFSF13B,1,0.0
OOSP3,1,0.0
ATP1A4,1,0.0
PLA2G2F,1,0.0
DPM3,1,0.0
TPPP3,1,0.0
MCL1,1,0.0
PATL2,1,0.0
RRAGD,1,0.0
NCCRP1,1,0.0
PSMA1,1,0.0
CALCA,1,0.0
SERPINB3,1,0.0
NCKIPSD,1,0.0
USF2,1,0.0
ATP6V1G3,1,0.0
RTEL1,1,0.0
UBXN11,1,0.0
CAPS,1,0.0
ERFE,1,0.0
FOXE3,1,0.0
RASL11A,1,0.0
WDPCP,1,0.0
ATF4,1,0.0
CRYBA4,1,0.0
NBPF19,1,0.0
SMYD3,1,0.0
FBXW10B,1,0.0
TMEM239,1,0.0
SLC52A1,1,0.0
CD27,1,0.0
SCN10A,1,0.0
PBX2,1,0.0
MEX3A,1,0.0
PCARE,1,0.0
SYCP1,1,0.0
NRG3,1,0.0
ERVH48-1,1,0.0
C9ORF43,1,0.0
RAB41,1,0.0
GUCA1A,1,0.0
TBC1D19,1,0.0
METTL7A,1,0.0
AHNAK,1,0.0
DRD5,1,0.0
IRF2BP1,1,0.0
IQCF3,1,0.0
RAB11B,1,0.0
C1GALT1C1L,1,0.0
BBOX1,1,0.0
IL6ST,1,0.0
WDR49,1,0.0
ZC3H12D,1,0.0
TWF2,1,0.0
LKAAEAR1,1,0.0
ZNF618,1,0.0
TAC4,1,0.0
SIGLEC6,1,0.0
UNC5B,1,0.0
TGM6,1,0.0
NXF2B,1,0.0
NXF2,1,0.0
ATXN3L,1,0.0
BEND4,1,0.0
TMEM232,1,0.0
ZNF575,1,0.0
OR8D1,1,0.0
GPC6,1,0.0
ZBTB18,1,0.0
CEBPB,1,0.0
OR2AT4,1,0.0
NUF2,1,0.0
TTK,1,0.0
SLC25A4,1,0.0
CHAD,1,0.0
KIAA0040,1,0.0
ATP1A1,1,0.0
GSC2,1,0.0
CT45A2,1,0.0
SVOP,1,0.0
SCRT2,1,0.0
H2AC14,1,0.0
DPEP3,1,0.0
IFI44,1,0.0
EFCAB2,1,0.0
PRY2,1,0.0
ME1,1,0.0
PALM2AKAP2,1,0.0
CKLF-CMTM1,1,0.0
LRRC47,1,0.0
TBATA,1,0.0
PARL,1,0.0
SERHL2,1,0.0
DSCAM,1,0.0
P4HTM,1,0.0
CXCR3,1,0.0
SIX2,1,0.0
DLGAP3,1,0.0
DDAH1,1,0.0
RAP1GAP2,1,0.0
FOXD4,1,0.0
MRGPRD,1,0.0
SRRT,1,0.0
TNFRSF1B,1,0.0
GARIN6,1,0.0
SLC2A6,1,0.0
HSFX4,1,0.0
SNX31,1,0.0
HSFX3,1,0.0
KCNT2,1,0.0
ANKRD30BL,1,0.0
LDHD,1,0.0
CADM4,1,0.0
PVR,1,0.0
DRICH1,1,0.0
GVQW3,1,0.0
RNF181,1,0.0
NDUFS5,1,0.0
OR5H1,1,0.0
MYO1C,1,0.0
EVC,1,0.0
ANXA6,1,0.0
KLF15,1,0.0
UTP3,1,0.0
NUTM1,1,0.0
GGTLC1,1,0.0
ACTL6B,1,0.0
ZNF513,1,0.0
LY6G6D,1,0.0
MPND,1,0.0
PPP1R15A,1,0.0
TAS2R46,1,0.0
SEMA7A,1,0.0
NEUROD6,1,0.0
PLAAT2,1,0.0
OLFML3,1,0.0
ROPN1B,1,0.0
MS4A4E,1,0.0
NKX6-2,1,0.0
SZRD1,1,0.0
CHRM3,1,0.0
TRIM64,1,0.0
TRIM51,1,0.0
