gene,in_variance_set,in_centrality_set,in_kegg_set,n_sources,variance,variance_rank,in_degree,centrality_rank,kegg_pathway
AK5,True,False,False,1,8.882034119603874,4024.0,,,
AKAP1,True,False,False,1,8.735152034205347,4219.0,,,
AKAP10,False,True,False,1,,,279.0,4403.0,
AKAP12,True,False,False,1,9.360260163003524,3387.0,,,
AKAP6,True,True,False,2,15.803703378733234,472.0,462.0,1702.0,
AKR1C1,True,False,False,1,10.0495604749251,2690.0,,,
AKR1C2,True,False,False,1,9.134922838134052,3670.0,,,
AKR1C3,True,False,False,1,9.824294061341249,2894.0,,,
AKR1C4,False,True,False,1,,,307.0,3725.0,
AKR7L,False,True,False,1,,,373.0,2622.0,
AKT1,True,True,False,2,10.364902363144957,2425.0,496.0,1471.0,
AKT1S1,True,True,False,2,9.689064517404043,3045.0,346.0,3018.0,
AKT3,True,False,False,1,13.626434630744876,886.0,,,
ALAS2,True,False,False,1,11.096150308653304,1936.0,,,
ALB,True,False,False,1,13.37285905414476,951.0,,,
ALCAM,True,False,False,1,9.595174158248543,3150.0,,,
ALDH18A1,True,False,False,1,8.304343566590259,4896.0,,,
ALDH1A1,True,False,False,1,15.411670252934275,537.0,,,
ALDH1A2,True,False,False,1,10.931017524882902,2034.0,,,
ALDH1A3,True,False,False,1,16.33005679094619,400.0,,,
ALDH1L1,True,False,False,1,11.420749114186474,1726.0,,,
ALDH1L2,True,True,False,2,10.429080308861282,2389.0,325.0,3372.0,
ALDH4A1,True,False,False,1,13.528500319997974,904.0,,,
ALDH5A1,True,False,False,1,8.316837779528013,4876.0,,,
ALDH8A1,False,True,False,1,,,293.0,4063.0,
ALDOA,True,False,False,1,8.766631691687632,4178.0,,,
ALDOB,False,True,False,1,,,357.0,2844.0,
ALDOC,True,False,False,1,12.099176087644176,1375.0,,,
ALG12,True,False,False,1,9.762272441573788,2966.0,,,
ALG9,False,True,False,1,,,422.0,2082.0,
ALMS1,False,True,False,1,,,313.0,3601.0,
ALOX5,True,True,False,2,11.138252827012076,1910.0,289.0,4165.0,
ALOX5AP,True,False,False,1,10.79826805597398,2123.0,,,
ALPK1,False,True,False,1,,,325.0,3369.0,
ALPK2,True,False,False,1,22.359846339203447,120.0,,,
ALPK3,True,False,False,1,18.96062501885913,225.0,,,
ALPL,True,False,False,1,12.166723308492758,1339.0,,,
ALS2,False,True,False,1,,,532.0,1242.0,
ALS2CL,True,False,False,1,9.925805496637407,2804.0,,,
ALYREF,True,False,False,1,9.291208410923732,3467.0,,,
AMBP,True,False,False,1,8.908822456933699,3992.0,,,
AMBRA1,True,True,False,2,9.26603998837238,3500.0,447.0,1839.0,
AMDHD2,True,False,False,1,8.967662282939411,3911.0,,,
AMER1,True,False,False,1,8.356698992544125,4805.0,,,
AMER2,False,True,False,1,,,537.0,1226.0,
AMHR2,True,False,False,1,9.02203948425958,3826.0,,,
AMIGO2,True,False,False,1,8.393719244371276,4735.0,,,
AMMECR1L,False,True,False,1,,,526.0,1273.0,
AMOT,True,False,False,1,9.106567724644362,3708.0,,,
AMOTL1,True,False,False,1,8.346971624156973,4830.0,,,
AMOTL2,True,False,False,1,11.25707807100192,1840.0,,,
AMPD2,True,False,False,1,8.91118304242046,3988.0,,,
AMT,True,True,False,2,8.654473210985008,4330.0,388.0,2444.0,
AMY2B,True,True,False,2,8.55434523964812,4490.0,394.0,2378.0,
ANAPC1,False,True,False,1,,,428.0,2026.0,
ANAPC2,True,True,False,2,13.052072940050175,1044.0,670.0,741.0,
ANAPC4,False,True,False,1,,,282.0,4321.0,
ANAPC7,False,True,False,1,,,267.0,4744.0,
ANGEL2,False,True,False,1,,,570.0,1070.0,
ANGPT1,True,False,False,1,8.712800545457096,4242.0,,,
ANGPT2,True,False,False,1,9.722928648162682,3004.0,,,
ANGPTL1,True,False,False,1,11.026985357849457,1969.0,,,
ANGPTL2,True,False,False,1,10.628046678522187,2241.0,,,
ANGPTL4,True,False,False,1,11.729369411759572,1544.0,,,
ANK1,True,False,False,1,10.74190163711796,2156.0,,,
ANK2,True,True,False,2,11.45055939484056,1704.0,284.0,4280.0,
ANKIB1,False,True,False,1,,,515.0,1337.0,
ANKLE2,False,True,False,1,,,297.0,3965.0,
ANKMY1,False,True,False,1,,,398.0,2326.0,
ANKRD1,True,False,False,1,26.67493487867181,58.0,,,
ANKRD13B,True,False,False,1,8.762453353942588,4183.0,,,
ANKRD18A,True,False,False,1,9.833538607346236,2888.0,,,
ANKRD2,True,False,False,1,11.5429750715387,1650.0,,,
ANKRD52,True,True,False,2,10.75817332358932,2149.0,342.0,3072.0,
ANKRD61,False,True,False,1,,,529.0,1256.0,
ANKRD63,True,True,False,2,11.373955085233964,1756.0,309.0,3684.0,
ANLN,True,False,False,1,14.105032653385631,770.0,,,
ANO1,True,False,False,1,13.795008474142122,850.0,,,
