gene,in_variance_set,in_centrality_set,in_kegg_set,n_sources,variance_rank,centrality_rank,ensg_ids,biotype
DSP-AS1,True,False,False,1,3306.0,,ENSG00000261189,LNCRNA
DSTNP1,False,True,False,1,,2974.0,ENSG00000230982,PROCESSED_PSEUDOGENE
DTD1-AS1,False,True,False,1,,1279.0,ENSG00000233993,LNCRNA
DTX2P1-UPK3BP1-PMS2P11,False,True,False,1,,4859.0,ENSG00000265479,LNCRNA
DUSP8P5,False,True,False,1,,4795.0,ENSG00000235316,PROCESSED_PSEUDOGENE
DUTP7,False,True,False,1,,2279.0,ENSG00000250473,PROCESSED_PSEUDOGENE
DUX4L17,False,True,False,1,,1018.0,ENSG00000259154,UNPROCESSED_PSEUDOGENE
DUX4L19,False,True,False,1,,1986.0,ENSG00000258991,UNPROCESSED_PSEUDOGENE
DUX4L34,False,True,False,1,,3595.0,ENSG00000282935,UNPROCESSED_PSEUDOGENE
E2F3P1,False,True,False,1,,4372.0,ENSG00000267046,PROCESSED_PSEUDOGENE
EDDM3CP,False,True,False,1,,700.0,ENSG00000234060,PROCESSED_PSEUDOGENE
EEF1A1P1,False,True,False,1,,3294.0,ENSG00000223822,PROCESSED_PSEUDOGENE
EEF1A1P12,False,True,False,1,,3919.0,ENSG00000214199,PROCESSED_PSEUDOGENE
EEF1A1P16,False,True,False,1,,4243.0,ENSG00000213235,PROCESSED_PSEUDOGENE
EEF1A1P17,False,True,False,1,,4629.0,ENSG00000257907,PROCESSED_PSEUDOGENE
EEF1A1P24,False,True,False,1,,3728.0,ENSG00000223668,PROCESSED_PSEUDOGENE
EEF1A1P28,False,True,False,1,,4429.0,ENSG00000237709,PROCESSED_PSEUDOGENE
EEF1A1P29,False,True,False,1,,4538.0,ENSG00000215093,PROCESSED_PSEUDOGENE
EEF1A1P38,False,True,False,1,,3327.0,ENSG00000261557,PROCESSED_PSEUDOGENE
EEF1A1P5,True,False,False,1,3771.0,,ENSG00000196205,PROCESSED_PSEUDOGENE
EEF1A1P7,False,True,False,1,,1920.0,ENSG00000268222,PROCESSED_PSEUDOGENE
EEF1A1P8,False,True,False,1,,1723.0,ENSG00000223529,PROCESSED_PSEUDOGENE
EEF1A1P9,False,True,False,1,,4225.0,ENSG00000249264,PROCESSED_PSEUDOGENE
EFCAB6-AS1,False,True,False,1,,467.0,ENSG00000223843,LNCRNA
EIF1B-AS1,False,True,False,1,,389.0,ENSG00000280739,LNCRNA
EIF2S2P5,False,True,False,1,,3187.0,ENSG00000225650,PROCESSED_PSEUDOGENE
EIF3FP3,True,True,False,2,1585.0,4365.0,ENSG00000233426,PROCESSED_PSEUDOGENE
EIF4A1P4,False,True,False,1,,4565.0,ENSG00000257790,PROCESSED_PSEUDOGENE
EIF4BP5,False,True,False,1,,4335.0,ENSG00000261336,PROCESSED_PSEUDOGENE
EIF4BP7,False,True,False,1,,2782.0,ENSG00000225031,PROCESSED_PSEUDOGENE
EML6-AS1,False,True,False,1,,1903.0,ENSG00000231334,LNCRNA
ENPP7P8,False,True,False,1,,1970.0,ENSG00000255319,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
ENTPD1-AS1,False,True,False,1,,1185.0,ENSG00000226688,LNCRNA
EOLA1-DT,False,True,False,1,,4513.0,ENSG00000241769,LNCRNA
EOLA2-DT,False,True,False,1,,717.0,ENSG00000235703,LNCRNA
EP400P1,False,True,False,1,,4438.0,"ENSG00000185684,ENSG00000288400",TRANSCRIBED_UNPROCESSED_PSEUDOGENE
EPC1-AS1,False,True,False,1,,1051.0,ENSG00000229327,LNCRNA
EPIC1,False,True,False,1,,33.0,ENSG00000224271,LNCRNA
EPM2A-DT,False,True,False,1,,1402.0,ENSG00000235652,LNCRNA
ERICH2-DT,False,True,False,1,,1202.0,ENSG00000234350,LNCRNA
ERVK13-1,False,True,False,1,,678.0,ENSG00000260565,LNCRNA
ERVK9-11,False,True,False,1,,2186.0,"ENSG00000269486,ENSG00000282930",LNCRNA
FABP5P7,True,False,False,1,2508.0,,ENSG00000234964,PROCESSED_PSEUDOGENE
FABP6-AS1,False,True,False,1,,4857.0,ENSG00000247699,LNCRNA
FABP7P1,False,True,False,1,,1223.0,ENSG00000226766,PROCESSED_PSEUDOGENE
FAM136CP,False,True,False,1,,1524.0,ENSG00000232830,PROCESSED_PSEUDOGENE
FAM13A-AS1,False,True,False,1,,1713.0,ENSG00000248019,LNCRNA
FAM153CP,False,True,False,1,,1201.0,ENSG00000204677,LNCRNA
FAM157A,True,False,False,1,1766.0,,ENSG00000236438,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
FAM238C,False,True,False,1,,4166.0,ENSG00000283709,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
FAM242A,False,True,False,1,,129.0,ENSG00000231934,LNCRNA
FAM30A,False,True,False,1,,4916.0,"ENSG00000226777,ENSG00000277059",LNCRNA
FAM3C2P,True,False,False,1,1299.0,,ENSG00000174028,PROCESSED_PSEUDOGENE
FAM3D-AS1,False,True,False,1,,2680.0,ENSG00000244383,LNCRNA
FAM86B3P,False,True,False,1,,2683.0,"ENSG00000173295,ENSG00000285119",TRANSCRIBED_UNPROCESSED_PSEUDOGENE
FAR2P2,True,False,False,1,4197.0,,ENSG00000178162,TRANSCRIBED_UNPROCESSED_PSEUDOGENE
FBXO38-DT,False,True,False,1,,2070.0,ENSG00000247199,LNCRNA
FCF1P5,False,True,False,1,,2292.0,ENSG00000220392,PROCESSED_PSEUDOGENE
