gene,variance,variance_rank,selected
PRSS35,16.079084579735127,431,True
PRRC2A,16.075853503387815,432,True
C6,16.071131526961228,433,True
GJA5,16.070224546392392,434,True
DCHS1,16.0672775535593,435,True
SNORA73A,16.061638416830363,436,True
TSPAN18,16.036395796005166,437,True
TYROBP,16.02317116199428,438,True
FBLN2,16.019818043203006,439,True
COL16A1,16.01973429893692,440,True
HSPB8,16.002120452182236,441,True
MRC1,16.001777065056586,442,True
ACTN4,16.000608551632244,443,True
ADAMTS12,15.993091815351203,444,True
SNAP91,15.977857333595864,445,True
DSG2,15.964588504948376,446,True
CXCL12,15.956824690596621,447,True
CCL2,15.951373144056761,448,True
HLA-B,15.950734257080066,449,True
ENSG00000287315,15.950349017226415,450,True
CYBB,15.946399744155057,451,True
RCSD1,15.944563990060853,452,True
SYNPO,15.930352405258592,453,True
THBS1,15.92957492477316,454,True
ADGRA2,15.926658614012682,455,True
HLA-B,15.922506538386678,456,True
TNXB,15.914470880350121,457,True
HAND2,15.899671856683565,458,True
CPNE5,15.897999612979335,459,True
FDFT1,15.878867907404256,460,True
COL5A3,15.877726825054651,461,True
C14ORF180,15.875518948350102,462,True
RASL12,15.871654878293342,463,True
CSPG4,15.870059693815103,464,True
SOX17,15.868333549782594,465,True
RN7SL3,15.833866548225304,466,True
CTSO,15.830043502170966,467,True
PAPPA,15.825488001398694,468,True
FLNA,15.820808431325029,469,True
PDZRN3,15.807061430426801,470,True
ENSG00000231811,15.804603823674194,471,True
AKAP6,15.803703378733234,472,True
USP2,15.803091927151232,473,True
MT-TY,15.784374718114513,474,True
LOX,15.772174982229819,475,True
SLC8A1,15.767661389101047,476,True
OGN,15.76238461335008,477,True
NIBAN2,15.75882104399381,478,True
EMILIN1,15.7560072997325,479,True
HLA-C,15.747712631602775,480,True
NOMO1,15.746893976270897,481,True
ENSG00000232035,15.74579847350376,482,True
FYB1,15.742691550905878,483,True
RPS2P5,15.737170804021188,484,True
MT-ATP8,15.735804689675966,485,True
H1-4,15.714816564797333,486,True
PRRX1,15.714090020081393,487,True
FASN,15.684971031630191,488,True
LAMA2,15.682935131050119,489,True
APCDD1,15.681522456809205,490,True
ERBB4,15.680772710882612,491,True
APLN,15.680620867397444,492,True
BMX,15.672584407397931,493,True
MKI67,15.671998575472166,494,True
GALNT17,15.668839275499419,495,True
AGPAT1,15.654827442021917,496,True
AGPAT1,15.654827442021917,497,True
JPH1,15.638533137059097,498,True
CTNND2,15.636121138906976,499,True
SNORD3D,15.627021620226907,500,True
MT-TA,15.61371706990033,501,True
ISLR,15.612061267714083,502,True
ISLR,15.612061267714083,503,True
TNFAIP6,15.602247981393983,504,True
SFRP1,15.591763059720854,505,True
SH3BGR,15.584531587385815,506,True
SLC12A7,15.579477887356347,507,True
PRDM16-DT,15.579287614373557,508,True
VASN,15.565487924962596,509,True
SULF1,15.56052801667747,510,True
LRP1,15.560190869277722,511,True
HMGA1,15.549673694987101,512,True
DKK1,15.533847239305292,513,True
PREX2,15.532298449451334,514,True
TNFRSF13B,15.531058225240667,515,True
ADAM15,15.521980090106169,516,True
ENSG00000237550,15.5215555175248,517,True
IGFBP2,15.499183905841234,518,True
MYH14,15.496709334534756,519,True
CD53,15.495296560634324,520,True
IGF1,15.47242843878083,521,True
ENSG00000289950,15.470684576603967,522,True
IL6,15.464543080395309,523,True
ATG9A,15.462617792620104,524,True
SELENOP,15.461772539070184,525,True
MYBL2,15.458920925661051,526,True
CLDN6,15.451583136378646,527,True
TSEN34,15.448090313587716,528,True
SFRP5,15.442181336050565,529,True
HLA-B,15.438568722186009,530,True
SRPX,15.433606756222254,531,True
RGS4,15.432900143357871,532,True
S100A8,15.431335391668817,533,True
ENSG00000282885,15.428264856913689,534,True
IRX4,15.426421234369307,535,True
SNORA73B,15.419457306969456,536,True
ALDH1A1,15.411670252934277,537,True
COL7A1,15.402812145421064,538,True
SCARA3,15.380610956716971,539,True
HLA-B,15.357836306269753,540,True
CFH,15.3321490929724,541,True
CLGN,15.31456239817883,542,True
PUF60,15.30402488552151,543,True
PCDH7,15.303001093889286,544,True
HSPA1B,15.302248396169404,545,True
COL5A2,15.297720478350282,546,True
IL10RA,15.295396098177985,547,True
CORIN,15.293552960836683,548,True
GPC6,15.290897613005818,549,True
PKD1P3,15.289687456485344,550,True
SPOCK1,15.287358383577084,551,True
TMEM176A,15.28694853932452,552,True
ADGRL3,15.2728742494438,553,True
CAV1,15.26432513614376,554,True
CDK18,15.264176147066982,555,True
HLA-E,15.262443930318035,556,True
HLA-E,15.262443930318035,557,True
HLA-E,15.262443930318035,558,True
HLA-E,15.262443930318035,559,True
CHCHD2,15.261684917142924,560,True
PODXL,15.255151552786062,561,True
COL4A1,15.24308766004312,562,True
FRAS1,15.230209408950538,563,True
SCARA5,15.227980384782864,564,True
C1S,15.223146016245252,565,True
FCGR2A,15.214443145213956,566,True
THBS4,15.212209872848984,567,True
TM4SF18,15.209246710499647,568,True
MNDA,15.188329433950932,569,True
EIF1AY,15.18568888061316,570,True
SINHCAFP3,15.162468665166351,571,True
EMP1,15.153155164093782,572,True
ACVRL1,15.140836159758255,573,True
EDNRA,15.13337774281598,574,True
PKDCC,15.12919413310403,575,True
ERG,15.12899807260543,576,True
ADGRB2,15.110910185362808,577,True
ARHGEF15,15.110511324098454,578,True
SCARNA13,15.102033500907238,579,True
VANGL2,15.10198750809417,580,True
C4A,15.100732073213628,581,True
ENSG00000234287,15.089123654040668,582,True
MT-TS1,15.086785569502416,583,True
THY1,15.077098256308986,584,True
ENSG00000262526,15.07020837306277,585,True
NID2,15.054102320671737,586,True
SYTL5,15.04446779526152,587,True
HLA-A,15.034085082005323,588,True
TLCD4,15.033179521930526,589,True
CORO6,15.030485240149146,590,True
RRAD,15.029500819281404,591,True
MGAT2,15.015819611217237,592,True
ASB11,15.011424396014249,593,True
IGSF3,15.00177766392387,594,True
SLC7A2,14.997001177451313,595,True
ANO5,14.995785701346467,596,True
SOX18,14.98817211882365,597,True
MS4A6A,14.986793739547425,598,True
ARHGAP23,14.983537597418959,599,True
ICAM1,14.983380663825674,600,True
SEMA3F,14.982038722095007,601,True
GIMAP5,14.975507710663745,602,True
VARS1,14.972285616475329,603,True
PCDH1,14.960025211254198,604,True
SLFN11,14.948661771344582,605,True
RNF150,14.940080522983298,606,True
ACTA2,14.932021994505607,607,True
TOP2A,14.930826140936194,608,True
LENG8,14.924659156822093,609,True
VSIG4,14.918130208324639,610,True
GRINA,14.909527126550199,611,True
PLEK,14.904274943003445,612,True
ENSG00000275405,14.903085436582217,613,True
RNU1-1,14.903085436582217,614,True
RNU1-2,14.903085436582217,615,True
RNU1-27P,14.903085436582217,616,True
RNU1-28P,14.903085436582217,617,True
RNU1-3,14.903085436582217,618,True
RNU1-4,14.903085436582217,619,True
RNVU1-18,14.903085436582217,620,True
RNVU1-29,14.903085436582217,621,True
SMARCB1,14.89775139625004,622,True
RN7SL4P,14.894331840866355,623,True
ITPR3,14.885094936359804,624,True
LMOD1,14.882165926070876,625,True
TTYH3,14.881351981526416,626,True
ITGA5,14.878143002535857,627,True
LCP2,14.873613949414382,628,True
FAM189A2,14.871387049708352,629,True
SPOCK2,14.823283391465418,630,True
S100A1,14.819949882222076,631,True
ENSG00000258232,14.813983210359355,632,True
MMRN2,14.806796103819014,633,True
CD34,14.803403539408045,634,True
KRT18,14.793081157288166,635,True
EPHA2,14.78025436140622,636,True
MAZ,14.779230541179114,637,True
CES1,14.776191221714598,638,True
NDRG4,14.76666056900921,639,True
CCN1,14.7663568397896,640,True
MYCT1,14.74757191942322,641,True
TRDN-AS1,14.742077275023108,642,True
FKBP8,14.739316999455333,643,True
APOL3,14.738033358487488,644,True
TUBA1B,14.724386016855622,645,True
ENSG00000265401,14.71403456591775,646,True
DSEL,14.71075714535126,647,True
PDE1C,14.709835753155179,648,True
PTPRB,14.708155769806517,649,True
NACC1,14.70566455584065,650,True
KIF26A,14.69225737091296,651,True
AEBP1,14.69197576569958,652,True
HLA-B,14.685876074060737,653,True
CLEC3B,14.684269120167684,654,True
DYSF,14.678662697830436,655,True
FLOT1,14.673059745879149,656,True
MCAM,14.669373615571718,657,True
TSPOAP1,14.665634985047266,658,True
PXDNL,14.658902665603124,659,True
LAMB2,14.657658923944213,660,True
EDIL3,14.649347556770097,661,True
AZGP1,14.647540689819477,662,True
NRCAM,14.631974137090198,663,True
ENSG00000225840,14.631753143551897,664,True
MYRF,14.631481047122596,665,True
PPP1R3C,14.626513755168855,666,True
FBN1,14.62483483739825,667,True
SAMD9L,14.619288628605464,668,True
CD14,14.616480258950244,669,True
RAC2,14.614933656469796,670,True
EPHB3,14.613503247189287,671,True
MAGED4,14.60281456352168,672,True
RPS18,14.59972052056424,673,True
ENSG00000285283,14.599368793014161,674,True
CES1,14.597776402228014,675,True
VCAM1,14.595983008444406,676,True
PYGM,14.582221858621152,677,True
TENM2,14.578850715446452,678,True
MEDAG,14.57133086453885,679,True
RARRES2,14.568771649247058,680,True
HSPA1A,14.562789246512835,681,True
COL4A6,14.559522917845824,682,True
PLVAP,14.559002682503206,683,True
PLEC,14.556956299133372,684,True
MIR3648-1,14.556001461971148,685,True
MIR3648-2,14.556001461971148,686,True
ITGAM,14.544145897477673,687,True
MROH7-TTC4,14.542423819852312,688,True
BCAM,14.534629158762598,689,True
CDH3,14.527484100012895,690,True
DPYSL3,14.518506069414276,691,True
DDR1,14.517836155131691,692,True
CPT1B,14.493462436740053,693,True
HYOU1,14.49236661624113,694,True
COX7A1,14.491356252955843,695,True
CXCL2,14.489980681650657,696,True
ADAMTSL1,14.486886776129484,697,True
CD68,14.484187301870152,698,True
HMOX1,14.481707106777971,699,True
COL4A2,14.458972792976311,700,True
MXRA8,14.453682888076814,701,True
MARCHF4,14.45306789019005,702,True
CACNA1H,14.449736671581247,703,True
AHNAK2,14.446898159541345,704,True
MRC2,14.419617512638222,705,True
GDF15,14.414598537173333,706,True
ASPG,14.412871940958725,707,True
GJA1,14.408445018204267,708,True
MTSS2,14.407085931290279,709,True
PAMR1,14.404062645206572,710,True
JUP,14.401541547242346,711,True
PGM5,14.386698337883374,712,True
SLC7A11,14.386584276036613,713,True
CMTM5,14.379884473223525,714,True
ENSG00000285565,14.366507753582374,715,True
MSC,14.365137202116475,716,True
MYOM3,14.363865832962366,717,True
SPSB4,14.332310805895597,718,True
CUX2,14.33227447646984,719,True
SMTNL2,14.323596935305144,720,True
KCNJ5,14.318612233533157,721,True
UCHL1,14.310462182374064,722,True
GABRA4,14.306952310714536,723,True
FILIP1,14.302955670994697,724,True
HCK,14.301351020189548,725,True
EFNB3,14.297916362350781,726,True
ICAM2,14.297828801321327,727,True
PDPN,14.287796377521449,728,True
DIRAS1,14.284052781456301,729,True
C1R,14.282483899172652,730,True
C1R,14.282483899172652,731,True
MFGE8,14.278463185614976,732,True
ATN1,14.274152326179543,733,True
C11ORF21,14.268566600238817,734,True
SERPINB2,14.26694517183207,735,True
ADGRL4,14.25887242937218,736,True
HLA-DRA,14.258554646592067,737,True
HLA-DRA,14.258554646592067,738,True
HLA-DRA,14.258554646592067,739,True
MIR133A1HG,14.247111888261722,740,True
SEMA6B,14.244443248411732,741,True
IER3,14.243910195280149,742,True
IER3,14.243910195280149,743,True
IER3,14.243910195280149,744,True
IER3,14.243910195280149,745,True
C1QTNF1,14.243444289727483,746,True
KCNJ8,14.243217658472334,747,True
PIP5K1B,14.236694534664478,748,True
FGF1,14.223568045080084,749,True
ENSG00000256500,14.211475835188049,750,True
ENSG00000284672,14.2076705574952,751,True
ITGA7,14.200228259474516,752,True
GANAB,14.198184838245496,753,True
PSMC1P1,14.197844794993049,754,True
ENSG00000263244,14.192237590044018,755,True
BAG6,14.189546748262208,756,True
ELN,14.185469875617985,757,True
PHRF1,14.171866296294251,758,True
DOK7,14.170305627105302,759,True
NDUFA4L2,14.163935520814267,760,True
CASZ1,14.15903340396855,761,True
SLC7A5,14.157426065499807,762,True
FSD2,14.157356700582952,763,True
MYH11,14.153418835311268,764,True
FAT1,14.14636844206515,765,True
PDGFRA,14.13663811138773,766,True
DAB1,14.130259086042946,767,True
IL33,14.122943731141811,768,True
GIMAP1,14.121896424708217,769,True
ANLN,14.105032653385633,770,True
FGD5,14.10455295393987,771,True
PXDN,14.103315054104927,772,True
PGR,14.09709276483818,773,True
CADPS,14.094392859828783,774,True
H2AC19,14.093204322828699,775,True
